System startup,2022-05-22 18:37:44.667,
Loading emperors,2022-05-22 18:37:44.67,
Adding emperor: Edward Newgate ,2022-05-22 18:37:44.67,
Adding emperor: Kaido ,2022-05-22 18:37:44.67,
Loading warlords,2022-05-22 18:37:44.67,
Adding warlord: Buggy The Clown,2022-05-22 18:37:44.671,
Adding warlord: Donquixote Doflamingo,2022-05-22 18:37:44.671,
Loading worst generations,2022-05-22 18:37:44.671,
Adding worst generation: Monkey D. Luffy ,2022-05-22 18:37:44.671,
Adding worst generation: Roronoa Zoro,2022-05-22 18:37:44.671,
Loading devil fruits,2022-05-22 18:37:44.671,
Adding devil fruit: Tremor Tremor,2022-05-22 18:37:44.671,
Adding devil fruit: Dragon Dragon,2022-05-22 18:37:44.671,
Uploading emperors,2022-05-22 18:37:44.672,
Uploading warlords,2022-05-22 18:37:44.674,
Uploading worst generations,2022-05-22 18:37:44.675,
Uploading devil fruits,2022-05-22 18:37:44.677,
System shutdown,2022-05-22 18:37:44.678,
